ID DEPARTAMENTO,DEPARTAMENTO,ID MUNICIPIO,MUNICIPIO,ID LOCALIDAD,LOCALIDAD,AÑO SERVICIO,MES SERVICIO,ENERGÍA ACTIVA,ENERGÍA REACTIVA,POTENCIA MÁXIMA,DÍA DE DEMANDA MÁXIMA,FECHA DE DEMANDA MÁXIMA,PROMEDIO DIARIO EN HORAS
91,Amazonas,91001,Leticia,91001000,Leticia (Leticia - Amazonas),2024,6,3994102,1010671.0,7824.51,Jueves,2024-06-20 15:30:00,24.0
91,Amazonas,91540,Puerto Nariño,91540000,Puerto Nariño (Puerto Nariño - Amazonas),2024,6,127838,40378.0,256.0,Miércoles,2024-06-05 18:15:00,24.0
91,Amazonas,91798,Tarapaca (Anm),91798000,Tarapaca (Tarapaca (Anm) - Amazonas),2024,6,26578,11917.0,101.43,Jueves,2024-06-20 18:30:00,10.18
88,"Archipiélago de San Andrés, Providencia y Santa Catalina",88564,Providencia,88564000,Providencia (Providencia - Archipiélago De San Andrés Y Providencia ),2024,6,1284196,274864.0,2241.56,Miércoles,2024-06-12 14:15:00,24.0
13,Bolívar,13001,Cartagena De Indias,13001007,Isla Fuerte (Cartagena De Indias - Bolívar),2024,6,60724,28336.0,265.63,Domingo,2024-06-30 20:00:00,9.4
13,Bolívar,13001,Cartagena De Indias,13001017,Santa Cruz Del Islote (Cartagena De Indias - Bolívar),2024,6,12040,3944.0,53.41,Viernes,2024-06-21 22:30:00,9.24
18,Caquetá,18150,Cartagena Del Chaira,18150001,Remolino Del Caguan (Cartagena Del Chaira - Caquetá),2024,6,18647,8183.0,104.26,Sábado,2024-06-22 18:45:00,7.43
18,Caquetá,18150,Cartagena Del Chaira,18150002,Santa Fe Del Caguan (Cartagena Del Chaira - Caquetá),2024,6,4127,1932.0,39.4,Sábado,2024-06-15 18:00:00,4.27
18,Caquetá,18753,San Vicente del Caguán,18753002,Guacamayas (San Vicente del Caguán - Caquetá),2024,6,8770,3282.0,32.35,Sábado,2024-06-29 19:45:00,14.56
19,Cauca,19318,Guapi,19318008,Limones (Guapi - Cauca),2024,6,9158,4037.0,43.34,Jueves,2024-06-27 19:30:00,9.22
19,Cauca,19318,Guapi,19318013,San Antonio De Guajui (Guapi - Cauca),2024,6,12520,6833.0,54.59,Miércoles,2024-06-12 18:30:00,9.36
19,Cauca,19418,López de Micay,19418009,Noanamito (López De Micay - Cauca),2024,6,6719,3215.0,36.0,Domingo,2024-06-02 19:30:00,8.22
19,Cauca,19809,Timbiquí,19809014,Chacon (Timbiquí - Cauca),2024,6,3571,875.0,22.0,Sábado,2024-06-22 18:45:00,7.26
19,Cauca,19809,Timbiquí,19809003,Coteje (Timbiquí - Cauca),2024,6,5703,4209.0,29.76,Viernes,2024-06-07 19:15:00,7.5
19,Cauca,19809,Timbiquí,19809026,Los Brazos (Timbiquí - Cauca),2024,6,2593,1121.0,36.55,Miércoles,2024-06-12 20:00:00,2.56
19,Cauca,19809,Timbiquí,19809007,San Jose (Timbiquí - Cauca),2024,6,6642,4607.0,35.35,Miércoles,2024-06-12 19:30:00,7.38
19,Cauca,19809,Timbiquí,19809009,Santa Rosa De Saija (Timbiquí - Cauca),2024,6,3387,1002.0,20.2,Domingo,2024-06-02 19:45:00,7.04
